gene,wilcox_pval_culture,wilcox_bonferroni_pval_culture,log2FC_culture_microglial_vs_not,fraction_expressed_culture_microglial,fraction_expressed_culture,wilcox_pval_acute,wilcox_bonferroni_pval_acute,log2FC_acute_microglial_vs_not,fraction_expressed_acute_microglial,fraction_expressed_acute,used_for_defining_microglial_signature,commom_acute_and_culture_microglial_gene
SCIMP,6.67E-42,3.35E-37,4.362078711,0.719,0.146,4.77E-06,0.240036516,1.600098796,0.306,0.117,TRUE,FALSE
LINC01480,7.37E-42,3.71E-37,3.538674327,0.551,0.01,1.48E-12,7.46E-08,3.932298293,0.371,0.053,FALSE,TRUE
FYB,8.29E-42,4.17E-37,2.540215303,0.921,0.424,4.45E-24,2.24E-19,1.790777064,0.871,0.383,FALSE,TRUE
ABI3,8.32E-42,4.18E-37,4.044114632,0.781,0.205,6.61E-13,3.32E-08,3.399652543,0.613,0.25,TRUE,TRUE
G0S2,8.91E-42,4.48E-37,5.353422723,0.837,0.215,2.21E-05,1,1.395073059,0.581,0.367,TRUE,FALSE
NFKBIZ,9.14E-42,4.59E-37,4.067027487,0.933,0.51,3.15E-16,1.58E-11,3.521583356,0.855,0.553,FALSE,TRUE
ITGB7,1.26E-41,6.33E-37,5.538105021,0.685,0.122,0.296389728,1,0.411313627,0.185,0.144,TRUE,FALSE
MCL1,1.29E-41,6.49E-37,2.96747703,0.933,0.448,1.23E-15,6.17E-11,2.542844558,0.847,0.59,FALSE,TRUE
PARP4,2.64E-41,1.33E-36,3.306958417,0.882,0.417,6.03E-06,0.302945648,2.255181963,0.427,0.234,FALSE,TRUE
CKLF,3.51E-41,1.77E-36,2.062718436,0.803,0.163,4.03E-16,2.02E-11,2.760004703,0.621,0.181,FALSE,TRUE
SNX8,4.44E-41,2.23E-36,2.478928133,0.966,0.736,1.96E-13,9.84E-09,2.165625575,0.806,0.5,FALSE,TRUE
RNASE6,5.42E-41,2.73E-36,3.864356097,0.567,0.021,2.23E-16,1.12E-11,1.220310294,0.492,0.08,FALSE,TRUE
TREML1,5.69E-41,2.86E-36,5.634456498,0.528,0.007,7.90E-08,0.003971788,5.679340682,0.161,0.005,TRUE,FALSE
HK2,6.31E-41,3.17E-36,2.33751493,0.854,0.274,4.95E-10,2.49E-05,2.229858553,0.476,0.176,FALSE,TRUE
RAB7B,8.28E-41,4.16E-36,5.512433695,0.73,0.194,1.09E-10,5.46E-06,3.376844681,0.411,0.112,TRUE,TRUE
CYTH4,1.08E-40,5.42E-36,3.762084514,0.663,0.09,6.54E-15,3.29E-10,3.149300081,0.427,0.064,FALSE,TRUE
TBXAS1,1.24E-40,6.24E-36,2.58253928,0.944,0.642,3.29E-21,1.65E-16,3.031658054,0.823,0.505,FALSE,TRUE
PLXDC2,1.25E-40,6.28E-36,2.787199038,0.978,0.802,4.43E-14,2.23E-09,3.000751775,0.887,0.761,FALSE,TRUE
APBB1IP,1.28E-40,6.45E-36,2.918195111,0.933,0.556,3.17E-26,1.60E-21,4.473153529,0.919,0.489,FALSE,TRUE
TNFAIP8,2.48E-40,1.25E-35,3.982858787,0.876,0.385,5.11E-10,2.57E-05,2.081848425,0.637,0.367,TRUE,FALSE
DUSP2,2.66E-40,1.34E-35,3.83199521,0.624,0.062,3.01E-13,1.51E-08,2.93050196,0.702,0.287,FALSE,TRUE
RIPK3,2.77E-40,1.39E-35,5.477457834,0.528,0.01,0.013464802,1,2.75705864,0.032,0,TRUE,FALSE
IGSF6,2.87E-40,1.44E-35,7.418969922,0.584,0.045,2.84E-17,1.43E-12,2.44001378,0.702,0.229,TRUE,TRUE
GBP1,3.62E-40,1.82E-35,3.986276677,0.669,0.08,1.08E-07,0.005423908,4.099183776,0.21,0.027,TRUE,TRUE
OLFML3,4.61E-40,2.32E-35,4.865077778,0.539,0.014,1.24E-22,6.25E-18,2.282906541,0.726,0.181,TRUE,TRUE
TNFRSF1A,4.85E-40,2.44E-35,2.754294383,0.831,0.236,3.22E-09,0.000161811,1.243102126,0.444,0.144,FALSE,TRUE
PIM3,5.65E-40,2.84E-35,2.626447918,0.972,0.59,3.97E-11,2.00E-06,2.400428885,0.815,0.633,FALSE,TRUE
PLEKHF2,5.75E-40,2.89E-35,2.984948004,0.809,0.219,7.55E-06,0.379459066,1.696616146,0.452,0.234,FALSE,TRUE
SERPINF1,6.81E-40,3.42E-35,3.077979258,0.865,0.354,1.97E-16,9.90E-12,2.797479045,0.774,0.346,FALSE,TRUE
SIGLEC10,8.44E-40,4.24E-35,4.677398531,0.584,0.045,1.53E-20,7.67E-16,3.622121184,0.565,0.085,TRUE,TRUE
HLA-H,1.31E-39,6.56E-35,2.309595547,0.978,0.715,1.16E-14,5.82E-10,2.044819336,0.839,0.511,FALSE,TRUE
IL6,1.42E-39,7.16E-35,9.26320261,0.556,0.031,9.06E-10,4.56E-05,2.885615617,0.435,0.133,TRUE,TRUE
MS4A6A,1.47E-39,7.39E-35,5.66197241,0.601,0.052,1.80E-09,9.07E-05,2.744228575,0.427,0.133,TRUE,TRUE
SLC50A1,3.88E-39,1.95E-34,2.253383001,0.854,0.257,0.000150737,1,1.971403768,0.444,0.255,FALSE,TRUE
RAC1P2,4.31E-39,2.17E-34,1.938405276,0.955,0.538,4.37E-16,2.20E-11,1.737321668,0.911,0.702,FALSE,TRUE
SCIN,4.81E-39,2.42E-34,3.763405057,0.826,0.309,2.16E-23,1.09E-18,4.457420318,0.71,0.207,FALSE,TRUE
SIGLEC7,5.57E-39,2.80E-34,5.122870011,0.584,0.052,0.182074199,1,0.568582671,0.048,0.021,TRUE,FALSE
CD300LB,1.11E-38,5.56E-34,3.423580053,0.612,0.062,3.57E-20,1.79E-15,3.405704242,0.5,0.053,FALSE,TRUE
BIN2,1.87E-38,9.38E-34,2.998023612,0.843,0.372,8.48E-18,4.26E-13,1.099151425,0.79,0.356,FALSE,TRUE
HAUS4,2.54E-38,1.28E-33,2.080595217,0.77,0.156,2.90E-07,0.01458706,0.821565879,0.435,0.17,FALSE,TRUE
GNA15,3.30E-38,1.66E-33,2.708647722,0.781,0.229,4.88E-19,2.46E-14,2.137478995,0.677,0.207,FALSE,TRUE
IKZF1,4.61E-38,2.32E-33,3.003099028,0.736,0.177,3.47E-15,1.74E-10,3.049960301,0.629,0.218,FALSE,TRUE
IFITM2,4.99E-38,2.51E-33,2.229739677,0.702,0.108,4.31E-14,2.17E-09,1.583728125,0.734,0.298,FALSE,TRUE
HLA-DPB1,5.35E-38,2.69E-33,3.563763949,0.837,0.24,2.48E-20,1.25E-15,2.419431339,0.895,0.479,FALSE,TRUE
RASAL3,6.46E-38,3.25E-33,3.222643447,0.685,0.125,9.73E-10,4.89E-05,4.256855782,0.347,0.08,FALSE,TRUE
LAT2,6.70E-38,3.37E-33,3.517590768,0.865,0.427,2.14E-24,1.07E-19,2.555761096,0.879,0.495,FALSE,TRUE
PLCB2,1.29E-37,6.48E-33,2.348562424,0.719,0.149,1.23E-08,0.00061865,2.663016101,0.444,0.16,FALSE,TRUE
EIF4EBP1,1.48E-37,7.45E-33,2.353064703,0.921,0.476,1.31E-11,6.57E-07,2.554577787,0.685,0.351,FALSE,TRUE
APOBEC3G,2.18E-37,1.10E-32,2.444526548,0.691,0.139,9.61E-06,0.483177373,2.891428313,0.282,0.101,FALSE,TRUE
LOC105371892,2.27E-37,1.14E-32,3.844306101,0.596,0.066,1.09E-19,5.47E-15,3.198924859,0.565,0.112,FALSE,TRUE
TMEM106A,2.30E-37,1.16E-32,3.06243314,0.758,0.181,2.23E-08,0.001122379,3.682479598,0.339,0.101,FALSE,TRUE
NR4A2,2.96E-37,1.49E-32,6.570724322,0.551,0.038,5.69E-25,2.86E-20,3.924654624,0.702,0.133,TRUE,TRUE
PNRC2,3.18E-37,1.60E-32,2.030549242,0.899,0.34,6.67E-13,3.36E-08,1.661415241,0.766,0.463,FALSE,TRUE
TMBIM4,3.73E-37,1.88E-32,1.781055317,0.989,0.649,3.17E-09,0.000159164,1.04456886,0.863,0.527,FALSE,TRUE
DSC2,4.61E-37,2.32E-32,0.807498711,0.753,0.163,0.00158262,1,3.034992984,0.25,0.117,FALSE,TRUE
ELOVL1,5.42E-37,2.73E-32,1.789701734,0.725,0.142,8.35E-09,0.000419878,2.612112052,0.347,0.09,FALSE,TRUE
RUNX1,6.39E-37,3.21E-32,2.844560373,0.972,0.674,5.74E-17,2.89E-12,6.254636976,0.782,0.495,FALSE,TRUE
MERTK,6.86E-37,3.45E-32,3.146547352,0.944,0.594,1.80E-09,9.07E-05,2.086618791,0.694,0.468,FALSE,TRUE
IMPDH1P10,7.76E-37,3.90E-32,3.273382165,0.551,0.031,2.09E-10,1.05E-05,2.623011932,0.315,0.048,FALSE,TRUE
TGFBR2,1.14E-36,5.76E-32,3.593537203,0.809,0.323,7.06E-13,3.55E-08,3.516177364,0.565,0.234,FALSE,TRUE
IRAK2,1.74E-36,8.76E-32,1.979069239,0.949,0.67,7.64E-18,3.84E-13,3.477257809,0.887,0.633,FALSE,TRUE
SAMD9L,1.92E-36,9.65E-32,4.944914375,0.539,0.038,9.77E-09,0.00049137,4.179320784,0.21,0.016,TRUE,FALSE
LY86,1.95E-36,9.78E-32,3.63418426,0.702,0.16,3.16E-24,1.59E-19,2.107203379,0.919,0.346,FALSE,TRUE
CYB561A3,2.10E-36,1.05E-31,3.015923169,0.848,0.323,2.25E-05,1,-2.212457985,0.5,0.309,FALSE,TRUE
CXCR4,2.15E-36,1.08E-31,4.475290992,0.506,0.017,0.020021358,1,0.911710122,0.121,0.048,TRUE,FALSE
CXCL3,2.44E-36,1.22E-31,7.408591851,0.584,0.059,0.082358959,1,2.79133663,0.04,0.011,TRUE,FALSE
MNDA,2.44E-36,1.23E-31,5.667107511,0.528,0.035,7.07E-13,3.56E-08,0.271223096,0.452,0.106,TRUE,TRUE
ITGB5,2.47E-36,1.24E-31,2.12030479,0.978,0.674,1.05E-12,5.27E-08,1.607357634,0.79,0.473,FALSE,TRUE
WNT5A,3.12E-36,1.57E-31,4.116802603,0.764,0.222,0.001334662,1,-0.658922095,0.468,0.261,TRUE,FALSE
NFKBID,4.39E-36,2.21E-31,3.386607309,0.876,0.385,8.34E-17,4.19E-12,3.892468632,0.798,0.431,FALSE,TRUE
LYL1,1.44E-35,7.24E-31,3.478422071,0.556,0.045,1.97E-09,9.91E-05,3.05573609,0.306,0.053,FALSE,TRUE
THBD,1.54E-35,7.72E-31,6.383025833,0.534,0.038,0.000168431,1,4.077582139,0.129,0.021,TRUE,FALSE
TMC8,1.92E-35,9.64E-31,2.966896004,0.618,0.087,2.36E-05,1,2.867213862,0.347,0.149,FALSE,TRUE
CXCL2,2.32E-35,1.17E-30,7.063333468,0.584,0.076,4.48E-06,0.225372098,5.27143355,0.234,0.059,TRUE,FALSE
NRP2,3.40E-35,1.71E-30,2.566010034,0.921,0.486,2.37E-11,1.19E-06,2.937627147,0.726,0.404,FALSE,TRUE
ARRDC2,5.29E-35,2.66E-30,2.67018008,0.68,0.142,7.63E-05,1,4.44862267,0.315,0.154,FALSE,TRUE
LINC00963,5.60E-35,2.81E-30,2.247577715,0.927,0.545,1.96E-16,9.87E-12,3.257056592,0.742,0.388,FALSE,TRUE
GPR82,6.06E-35,3.05E-30,5.613536099,0.584,0.08,0.55496822,1,4.68352323,0.121,0.101,TRUE,FALSE
RAB13,6.42E-35,3.23E-30,0.876112436,0.949,0.392,1.38E-10,6.94E-06,0.671516175,0.573,0.197,FALSE,TRUE
MILR1,9.78E-35,4.92E-30,3.649821602,0.792,0.326,1.48E-13,7.46E-09,1.69344314,0.766,0.41,FALSE,TRUE
RHBDF2,1.29E-34,6.47E-30,3.729486856,0.775,0.285,8.73E-20,4.39E-15,3.599182949,0.677,0.213,FALSE,TRUE
DOCK8,1.43E-34,7.20E-30,2.785532715,0.904,0.576,2.57E-08,0.001292188,2.7039501,0.597,0.394,FALSE,TRUE
ID2,1.71E-34,8.59E-30,3.140132959,0.921,0.368,9.34E-13,4.69E-08,1.405693431,0.935,0.702,FALSE,TRUE
LOC101926963,2.41E-34,1.21E-29,3.444931937,0.539,0.045,1.05E-12,5.30E-08,1.954001707,0.403,0.064,FALSE,TRUE
SIGIRR,2.99E-34,1.50E-29,1.728033091,0.73,0.16,8.55E-06,0.429726458,1.688646451,0.379,0.154,FALSE,TRUE
CFLAR,4.47E-34,2.25E-29,2.049640222,0.978,0.608,9.98E-18,5.02E-13,2.033986044,0.919,0.638,FALSE,TRUE
IRAK3,8.52E-34,4.28E-29,3.04830286,0.764,0.274,2.81E-14,1.41E-09,3.041385643,0.653,0.234,FALSE,TRUE
REL,1.24E-33,6.25E-29,2.783631578,0.91,0.604,8.15E-14,4.10E-09,3.196601111,0.895,0.644,FALSE,TRUE
TMEM37,2.28E-33,1.14E-28,4.018637826,0.511,0.038,0.017437028,1,3.51426066,0.056,0.011,TRUE,FALSE
DUSP1,2.31E-33,1.16E-28,2.47059497,0.978,0.625,2.64E-10,1.33E-05,1.787546768,0.944,0.782,FALSE,TRUE
PPP1R15A,2.42E-33,1.22E-28,2.564432718,0.994,0.84,1.88E-13,9.43E-09,2.057377064,0.944,0.83,FALSE,TRUE
TMEM52B,3.68E-33,1.85E-28,1.402125923,0.624,0.108,6.98E-19,3.51E-14,3.657184623,0.637,0.181,FALSE,TRUE
GBP2,6.30E-33,3.17E-28,3.03749879,0.86,0.344,1.38E-17,6.95E-13,4.386435534,0.581,0.149,FALSE,TRUE
CFD,7.30E-33,3.67E-28,3.290805186,0.719,0.219,3.83E-08,0.001923712,2.173253953,0.484,0.218,FALSE,TRUE
RRAS,9.08E-33,4.57E-28,2.762605012,0.657,0.122,0.001732418,1,2.645598822,0.339,0.202,FALSE,TRUE
MR1,1.11E-32,5.56E-28,1.528066803,0.815,0.326,1.22E-09,6.13E-05,2.797426474,0.419,0.133,FALSE,TRUE
CD226,1.20E-32,6.03E-28,3.505781848,0.848,0.434,2.69E-09,0.000135035,2.213922175,0.548,0.255,FALSE,TRUE
ADORA3,1.51E-32,7.62E-28,4.927569478,0.511,0.042,2.09E-11,1.05E-06,3.342857767,0.266,0.016,TRUE,TRUE
KLHL6,1.65E-32,8.31E-28,4.011992428,0.758,0.306,4.03E-16,2.03E-11,4.853010358,0.629,0.261,TRUE,TRUE
CECR1,1.66E-32,8.34E-28,3.298210611,0.865,0.469,3.11E-07,0.015654865,2.637825129,0.589,0.388,FALSE,TRUE
TNFAIP8L3,1.99E-32,9.99E-28,3.69830108,0.556,0.066,1.61E-09,8.08E-05,1.203575574,0.565,0.229,FALSE,TRUE
LOC101927822,2.09E-32,1.05E-27,4.001689181,0.534,0.059,1.29E-05,0.649313043,2.940901258,0.218,0.059,TRUE,FALSE
FGL2,2.55E-32,1.28E-27,4.710355351,0.5,0.038,1.10E-10,5.55E-06,-0.531383136,0.371,0.074,TRUE,FALSE
XAF1,3.52E-32,1.77E-27,2.898403622,0.652,0.139,9.19E-14,4.62E-09,2.796659801,0.468,0.101,FALSE,TRUE
P2RX7,3.54E-32,1.78E-27,2.717918059,0.904,0.601,5.55E-12,2.79E-07,2.37810294,0.71,0.415,FALSE,TRUE
GEM,4.16E-32,2.09E-27,3.442607452,0.787,0.271,2.82E-10,1.42E-05,3.088146692,0.556,0.223,FALSE,TRUE
TMEM255B,5.33E-32,2.68E-27,2.148650325,0.702,0.17,6.11E-08,0.003072134,2.819237393,0.355,0.112,FALSE,TRUE
STAT5A,8.97E-32,4.51E-27,2.226218206,0.826,0.326,1.64E-09,8.27E-05,1.77268108,0.5,0.191,FALSE,TRUE
IL1RN,1.22E-31,6.14E-27,6.672980407,0.64,0.17,4.72E-12,2.37E-07,2.18529133,0.597,0.223,TRUE,TRUE
MYOF,1.27E-31,6.40E-27,2.563162399,0.921,0.698,3.20E-11,1.61E-06,2.815833889,0.758,0.553,FALSE,TRUE
CCL7,1.68E-31,8.45E-27,6.636011406,0.494,0.042,6.58E-08,0.003309943,3.073869434,0.266,0.048,TRUE,FALSE
ADPRH,2.00E-31,1.01E-26,2.79418498,0.573,0.083,1.40E-13,7.04E-09,4.5416748,0.363,0.048,FALSE,TRUE
CXorf21,5.01E-31,2.52E-26,5.188283141,0.573,0.104,2.55E-08,0.001283133,4.654992249,0.298,0.074,TRUE,TRUE
FCGR1B,5.25E-31,2.64E-26,1.923552269,0.449,0.017,2.23E-13,1.12E-08,2.464946786,0.597,0.202,FALSE,TRUE
SLC1A3,6.43E-31,3.23E-26,1.803095963,0.843,0.438,2.99E-24,1.50E-19,3.364905743,0.879,0.372,FALSE,TRUE
GAL3ST4,6.61E-31,3.33E-26,4.922740815,0.607,0.149,0.000128728,1,1.049409332,0.508,0.314,TRUE,TRUE
ARHGAP25,7.94E-31,3.99E-26,3.028544219,0.736,0.278,4.27E-08,0.002146153,3.387047725,0.452,0.207,FALSE,TRUE
RASSF2,1.01E-30,5.06E-26,0.958103252,0.91,0.604,5.11E-15,2.57E-10,1.993886058,0.782,0.495,FALSE,TRUE
CSF2RB,1.28E-30,6.41E-26,5.047487981,0.517,0.066,2.07E-06,0.104037123,4.476925085,0.169,0.021,TRUE,FALSE
SIGLEC8,1.56E-30,7.86E-26,4.417898178,0.494,0.049,5.60E-12,2.81E-07,3.331531489,0.379,0.074,TRUE,TRUE
NMI,1.66E-30,8.36E-26,2.578609514,0.685,0.194,2.46E-07,0.01235775,1.75730228,0.371,0.138,FALSE,TRUE
CDCP1,1.92E-30,9.63E-26,2.316971211,0.792,0.358,5.46E-07,0.027445069,2.741458588,0.508,0.266,FALSE,TRUE
WDFY4,2.36E-30,1.19E-25,2.376051619,0.831,0.427,1.35E-12,6.81E-08,3.736434946,0.573,0.234,FALSE,TRUE
FAM198B,2.69E-30,1.35E-25,2.163044297,0.702,0.194,1.10E-10,5.54E-06,2.407535833,0.468,0.149,FALSE,TRUE
LOC105375826,3.31E-30,1.67E-25,4.856945882,0.551,0.087,2.80E-05,1,3.521259242,0.185,0.043,TRUE,FALSE
LOC731424,5.55E-30,2.79E-25,4.632749694,0.489,0.045,0.001446666,1,2.399204704,0.145,0.043,TRUE,FALSE
CH25H,8.95E-30,4.50E-25,7.005854655,0.433,0.021,2.11E-19,1.06E-14,4.218101414,0.653,0.176,FALSE,TRUE
P2RY13,1.36E-29,6.85E-25,5.550289961,0.472,0.042,3.06E-07,0.015408886,5.769891604,0.298,0.085,FALSE,TRUE
SDC4,1.73E-29,8.68E-25,2.233324605,0.629,0.153,6.99E-05,1,3.05557112,0.282,0.117,FALSE,TRUE
C12orf75,3.63E-29,1.82E-24,1.908593739,0.736,0.24,3.43E-20,1.72E-15,1.442649294,0.944,0.532,FALSE,TRUE
VRK2,4.33E-29,2.18E-24,1.834867821,0.882,0.427,5.63E-13,2.83E-08,2.487637223,0.637,0.266,FALSE,TRUE
CSF1,7.74E-29,3.89E-24,2.078795425,0.809,0.267,1.89E-12,9.53E-08,5.482715934,0.556,0.207,FALSE,TRUE
MXD4,7.98E-29,4.01E-24,1.65252625,0.899,0.469,3.44E-06,0.173086923,1.820772015,0.831,0.601,FALSE,TRUE
LOC105378305,1.04E-28,5.25E-24,4.431889915,0.848,0.5,1.35E-12,6.79E-08,3.61288148,0.661,0.383,TRUE,FALSE
PROCR,1.41E-28,7.07E-24,2.584729431,0.86,0.476,6.15E-07,0.030928587,3.198950292,0.5,0.293,FALSE,TRUE
MIR155HG,1.46E-28,7.34E-24,3.41681403,0.719,0.219,8.20E-08,0.004121267,3.835779392,0.444,0.176,FALSE,TRUE
FAM89A,2.81E-28,1.41E-23,1.086410203,0.916,0.382,8.66E-09,0.000435193,1.466433361,0.444,0.149,FALSE,TRUE
CYBRD1,3.88E-28,1.95E-23,3.613365708,0.674,0.233,5.09E-11,2.56E-06,4.009102727,0.484,0.17,FALSE,TRUE
B3GNT5,4.03E-28,2.03E-23,2.478604984,0.674,0.181,5.02E-12,2.52E-07,2.483202269,0.645,0.282,FALSE,TRUE
LINC01268,4.07E-28,2.05E-23,3.795137149,0.421,0.024,1.94E-07,0.009767977,2.628863138,0.315,0.085,FALSE,TRUE
ADTRP,5.64E-28,2.84E-23,1.966922703,0.652,0.167,2.49E-15,1.25E-10,2.641097431,0.427,0.064,FALSE,TRUE
SELPLG,7.84E-28,3.94E-23,3.380975465,0.556,0.101,2.39E-12,1.20E-07,2.572746088,0.661,0.293,FALSE,TRUE
RNASE1,1.76E-27,8.86E-23,5.975797416,0.618,0.149,2.80E-05,1,2.092534256,0.315,0.117,TRUE,FALSE
RPS23P8,4.88E-27,2.46E-22,1.794163142,0.736,0.257,2.60E-16,1.31E-11,1.640295679,0.806,0.367,FALSE,TRUE
CD151,5.87E-27,2.95E-22,1.214380673,0.893,0.424,1.42E-05,0.714899848,0.262572435,0.556,0.282,FALSE,TRUE
FLNA,7.05E-27,3.55E-22,1.978078642,0.837,0.427,0.004696236,1,0.884313415,0.548,0.41,FALSE,TRUE
TGM2,1.21E-26,6.08E-22,4.763605356,0.618,0.177,0.000572145,1,2.575461145,0.145,0.037,TRUE,FALSE
LOC284454,6.52E-26,3.28E-21,3.241754049,0.5,0.073,2.45E-14,1.23E-09,3.656583111,0.452,0.08,FALSE,TRUE
PADI2,1.83E-25,9.19E-21,2.929270956,0.725,0.309,4.43E-13,2.23E-08,1.809490622,0.645,0.303,FALSE,TRUE
PRKCH,2.21E-25,1.11E-20,2.415940575,0.888,0.59,3.37E-17,1.69E-12,4.13979439,0.734,0.394,FALSE,TRUE
LOC400043,5.03E-25,2.53E-20,2.961658519,0.433,0.045,4.58E-09,0.00023023,1.202018215,0.387,0.106,FALSE,TRUE
HAAO,7.32E-25,3.68E-20,3.728717036,0.354,0.01,1.01E-08,0.00050586,0.814428407,0.274,0.043,FALSE,TRUE
BTK,1.01E-24,5.07E-20,3.557946151,0.652,0.25,1.27E-06,0.06394792,3.603180289,0.427,0.207,FALSE,TRUE
ARHGAP31,1.89E-24,9.51E-20,2.301407459,0.787,0.385,1.30E-10,6.53E-06,1.212973042,0.677,0.335,FALSE,TRUE
NR4A3,2.15E-24,1.08E-19,2.777044404,0.764,0.309,1.76E-14,8.87E-10,2.827566924,0.871,0.505,FALSE,TRUE
EBI3,2.69E-24,1.35E-19,0.620204488,0.669,0.236,4.63E-22,2.33E-17,2.02145421,0.806,0.277,FALSE,TRUE
LPAR5,2.90E-24,1.46E-19,3.018666913,0.758,0.417,4.38E-07,0.022028944,2.188161963,0.524,0.287,FALSE,TRUE
LOC374443,3.57E-24,1.79E-19,2.249989126,0.567,0.142,5.92E-05,1,0.486819446,0.379,0.202,FALSE,TRUE
TP53I11,8.88E-24,4.47E-19,0.607504155,0.753,0.253,1.54E-09,7.73E-05,0.853440511,0.653,0.287,FALSE,TRUE
LOC105371763,1.47E-23,7.41E-19,3.136568786,0.416,0.042,1.38E-12,6.93E-08,2.493984742,0.419,0.08,FALSE,TRUE
FAM129A,1.48E-23,7.42E-19,1.885313781,0.854,0.549,3.27E-10,1.64E-05,2.951033364,0.629,0.351,FALSE,TRUE
PDGFB,1.56E-23,7.85E-19,2.818727886,0.646,0.215,2.50E-12,1.26E-07,2.37489084,0.726,0.372,FALSE,TRUE
DCSTAMP,1.76E-23,8.84E-19,4.476097381,0.427,0.052,5.97E-11,3.00E-06,2.078635652,0.331,0.048,FALSE,TRUE
INHBA,3.77E-23,1.89E-18,3.639332566,0.691,0.226,1.10E-12,5.55E-08,3.407839571,0.508,0.16,FALSE,TRUE
TGIF2,1.22E-22,6.12E-18,4.015781225,0.365,0.028,5.93E-10,2.98E-05,5.131010735,0.339,0.074,FALSE,TRUE
LPAR1,2.13E-22,1.07E-17,1.184684852,0.882,0.562,7.06E-17,3.55E-12,3.061075204,0.718,0.303,FALSE,TRUE
LOC105376150,1.63E-21,8.20E-17,2.545759213,0.567,0.153,2.36E-10,1.19E-05,3.178101798,0.5,0.176,FALSE,TRUE
LINC00847,2.22E-21,1.12E-16,1.229649763,0.59,0.16,2.61E-07,0.013141796,2.100134039,0.347,0.112,FALSE,TRUE
DDX60L,3.87E-21,1.95E-16,1.841648286,0.82,0.514,4.05E-05,1,2.17300273,0.476,0.277,FALSE,TRUE
RGCC,4.42E-21,2.22E-16,1.707440434,0.747,0.288,0.000118043,1,1.382266591,0.597,0.378,FALSE,TRUE
CRYBB1,5.77E-21,2.90E-16,-0.331072326,0.5,0.118,1.55E-12,7.82E-08,3.090453808,0.427,0.09,FALSE,TRUE
TNIP3,5.87E-21,2.95E-16,6.973011758,0.596,0.247,3.05E-05,1,4.326331575,0.315,0.133,TRUE,FALSE
GIMAP4,8.34E-21,4.19E-16,3.33793165,0.354,0.031,1.68E-07,0.008441804,0.104690059,0.339,0.101,FALSE,TRUE
TAGAP,1.02E-20,5.14E-16,5.383902582,0.427,0.083,1.12E-05,0.564839284,4.439457404,0.25,0.08,FALSE,TRUE
DEF6,3.79E-20,1.91E-15,0.955863866,0.736,0.351,3.10E-08,0.001556888,0.630135312,0.524,0.234,FALSE,TRUE
CD99P1,4.49E-20,2.26E-15,2.668221914,0.337,0.028,1.40E-08,0.000702451,1.482660635,0.323,0.074,FALSE,TRUE
PAQR5,2.74E-19,1.38E-14,1.859408227,0.758,0.451,4.87E-08,0.002447896,3.412650505,0.492,0.255,FALSE,TRUE
LOC102724265,3.82E-19,1.92E-14,1.810427594,0.32,0.028,8.82E-10,4.43E-05,-0.01138116,0.411,0.112,FALSE,TRUE
ZC3HAV1,1.69E-18,8.50E-14,1.628405484,0.86,0.559,0.004082791,1,1.041100159,0.508,0.404,FALSE,TRUE
SUSD3,2.08E-18,1.05E-13,2.196797759,0.534,0.177,1.29E-13,6.48E-09,1.76327657,0.629,0.223,FALSE,TRUE
LOC105373192,5.92E-18,2.98E-13,3.781357228,0.275,0.014,3.13E-14,1.57E-09,5.404161826,0.339,0.027,FALSE,TRUE
LOC101928143,1.00E-17,5.03E-13,3.807057757,0.36,0.056,6.32E-13,3.18E-08,3.757217953,0.411,0.085,FALSE,TRUE
OASL,1.01E-17,5.09E-13,2.884387197,0.607,0.26,3.01E-08,0.001515307,2.820305291,0.444,0.181,FALSE,TRUE
LOC105369705,1.05E-17,5.27E-13,2.17851512,0.601,0.236,2.12E-13,1.06E-08,1.971604344,0.516,0.128,FALSE,TRUE
GAB3,1.06E-17,5.32E-13,1.974692691,0.624,0.271,4.97E-16,2.50E-11,5.928504362,0.54,0.16,FALSE,TRUE
HLA-DQA1,4.33E-17,2.18E-12,4.971631055,0.36,0.066,1.71E-18,8.58E-14,1.702586188,0.613,0.154,FALSE,TRUE
CFAP58-AS1,8.62E-17,4.33E-12,1.773069436,0.365,0.056,6.95E-10,3.49E-05,2.031599903,0.355,0.069,FALSE,TRUE
MAML2,1.15E-16,5.76E-12,1.15548789,0.91,0.757,2.09E-10,1.05E-05,4.159100517,0.823,0.649,FALSE,TRUE
PRAM1,4.57E-16,2.30E-11,1.391714526,0.573,0.222,9.93E-08,0.00499262,2.981270181,0.419,0.165,FALSE,TRUE
CEACAM21,5.20E-16,2.61E-11,1.081338055,0.517,0.177,5.54E-12,2.78E-07,3.84102136,0.419,0.101,FALSE,TRUE
OSM,5.06E-15,2.54E-10,7.04292465,0.287,0.038,9.85E-16,4.95E-11,3.481565655,0.508,0.101,FALSE,TRUE
FBP1,5.25E-15,2.64E-10,2.370564912,0.618,0.34,2.41E-08,0.001213836,1.60825381,0.484,0.229,FALSE,TRUE
TRAF1,1.80E-14,9.03E-10,3.588118893,0.545,0.226,3.39E-06,0.170578963,3.036183736,0.403,0.186,FALSE,TRUE
SERPINE1,1.93E-14,9.69E-10,0.488702159,0.803,0.399,2.94E-09,0.000147819,2.748144917,0.669,0.404,FALSE,TRUE
